TIME,THERMOMETER_EXTERNAL,THERMOMETER23,HEATER23,SETPOINT23,THERMOMETER41,HEATER41,SETPOINT41,THERMOMETER31,HEATER31,SETPOINT31,THERMOMETER21,HEATER21,SETPOINT21,THERMOMETER11,HEATER11,SETPOINT11,THERMOMETER42,HEATER42,SETPOINT42,THERMOMETER32,HEATER32,SETPOINT32,THERMOMETER22,HEATER22,SETPOINT22,THERMOMETER12,HEATER12,SETPOINT12,THERMOMETER43,HEATER43,SETPOINT43,THERMOMETER33,HEATER33,SETPOINT33,THERMOMETER13,HEATER13,SETPOINT13,THERMOMETER44,HEATER44,SETPOINT44,THERMOMETER34,HEATER34,SETPOINT34,THERMOMETER24,HEATER24,SETPOINT24,THERMOMETER14,HEATER14,SETPOINT14
530,9.816029,16.574602,10,18.0,16.239769,10,16.0,16.208944,10,20.0,16.330782,10,20.0,15.625654,10,20.0,16.480335,10,20.0,16.933413,10,20.0,16.801273,10,20.0,16.582531,10,20.0,16.480333,10,20.0,16.93314,10,20.0,16.582502,10,20.0,16.239765,10,20.0,16.208942,10,20.0,16.330603,10,20.0,15.625654,10,20.0
540,9.816029,16.574602,10,18.0,16.239769,10,16.0,16.208944,10,20.0,16.330782,10,20.0,15.625654,10,20.0,16.480335,10,20.0,16.933413,10,20.0,16.801273,10,20.0,16.582531,10,20.0,16.480333,10,20.0,16.93314,10,20.0,16.582502,10,20.0,16.239765,10,20.0,16.208942,10,20.0,16.330603,10,20.0,15.625654,10,20.0
550,9.816029,16.574602,10,18.0,16.239769,10,16.0,16.208944,10,20.0,16.330782,10,20.0,15.625654,10,20.0,16.480335,10,20.0,16.933413,10,20.0,16.801273,10,20.0,16.582531,10,20.0,16.480333,10,20.0,16.93314,10,20.0,16.582502,10,20.0,16.239765,10,20.0,16.208942,10,20.0,16.330603,10,20.0,15.625654,10,20.0
560,9.816029,16.574602,10,18.0,16.239769,10,16.0,16.208944,10,20.0,16.330782,10,20.0,15.625654,10,20.0,16.480335,10,20.0,16.933413,10,20.0,16.801273,10,20.0,16.582531,10,20.0,16.480333,10,20.0,16.93314,10,20.0,16.582502,10,20.0,16.239765,10,20.0,16.208942,10,20.0,16.330603,10,20.0,15.625654,10,20.0
570,9.816029,16.574602,10,18.0,16.239769,10,16.0,16.208944,10,20.0,16.330782,10,20.0,15.625654,10,20.0,16.480335,10,20.0,16.933413,10,20.0,16.801273,10,20.0,16.582531,10,20.0,16.480333,10,20.0,16.93314,10,20.0,16.582502,10,20.0,16.239765,10,20.0,16.208942,10,20.0,16.330603,10,20.0,15.625654,10,20.0
580,9.816029,16.574602,10,18.0,16.239769,10,16.0,16.208944,10,20.0,16.330782,10,20.0,15.625654,10,20.0,16.480335,10,20.0,16.933413,10,20.0,16.801273,10,20.0,16.582531,10,20.0,16.480333,10,20.0,16.93314,10,20.0,16.582502,10,20.0,16.239765,10,20.0,16.208942,10,20.0,16.330603,10,20.0,15.625654,10,20.0
590,10.201916,16.83665,10,18.0,16.466574,10,16.0,16.664543,10,20.0,16.564354,10,20.0,16.051167,10,20.0,16.73378,10,20.0,17.431171,10,20.0,17.059755,10,20.0,17.030062,10,20.0,16.733782,10,20.0,17.430788,10,20.0,17.030012,10,20.0,16.466568,10,20.0,16.664545,10,20.0,16.564106,10,20.0,16.051163,10,20.0
600,10.201916,16.83665,10,18.0,16.466574,10,16.0,16.664543,10,20.0,16.564354,10,20.0,16.051167,10,20.0,16.73378,10,20.0,17.431171,10,20.0,17.059755,10,20.0,17.030062,10,20.0,16.733782,10,20.0,17.430788,10,20.0,17.030012,10,20.0,16.466568,10,20.0,16.664545,10,20.0,16.564106,10,20.0,16.051163,10,20.0
610,10.201916,16.83665,10,18.0,16.466574,10,16.0,16.664543,10,20.0,16.564354,10,20.0,16.051167,10,20.0,16.73378,10,20.0,17.431171,10,20.0,17.059755,10,20.0,17.030062,10,20.0,16.733782,10,20.0,17.430788,10,20.0,17.030012,10,20.0,16.466568,10,20.0,16.664545,10,20.0,16.564106,10,20.0,16.051163,10,20.0
620,10.201916,16.83665,10,18.0,16.466574,10,16.0,16.664543,10,20.0,16.564354,10,20.0,16.051167,10,20.0,16.73378,10,20.0,17.431171,10,20.0,17.059755,10,20.0,17.030062,10,20.0,16.733782,10,20.0,17.430788,10,20.0,17.030012,10,20.0,16.466568,10,20.0,16.664545,10,20.0,16.564106,10,20.0,16.051163,10,20.0
630,10.201916,16.83665,10,18.0,16.466574,10,16.0,16.664543,10,20.0,16.564354,10,20.0,16.051167,10,20.0,16.73378,10,20.0,17.431171,10,20.0,17.059755,10,20.0,17.030062,10,20.0,16.733782,10,20.0,17.430788,10,20.0,17.030012,10,20.0,16.466568,10,20.0,16.664545,10,20.0,16.564106,10,20.0,16.051163,10,20.0
640,10.201916,16.83665,10,18.0,16.466574,10,16.0,16.664543,10,20.0,16.564354,10,20.0,16.051167,10,20.0,16.73378,10,20.0,17.431171,10,20.0,17.059755,10,20.0,17.030062,10,20.0,16.733782,10,20.0,17.430788,10,20.0,17.030012,10,20.0,16.466568,10,20.0,16.664545,10,20.0,16.564106,10,20.0,16.051163,10,20.0
650,10.201916,16.83665,10,18.0,16.466574,10,16.0,16.664543,10,20.0,16.564354,10,20.0,16.051167,10,20.0,16.73378,10,20.0,17.431171,10,20.0,17.059755,10,20.0,17.030062,10,20.0,16.733782,10,20.0,17.430788,10,20.0,17.030012,10,20.0,16.466568,10,20.0,16.664545,10,20.0,16.564106,10,20.0,16.051163,10,20.0
660,10.201916,16.83665,10,18.0,16.466574,10,16.0,16.664543,10,20.0,16.564354,10,20.0,16.051167,10,20.0,16.73378,10,20.0,17.431171,10,20.0,17.059755,10,20.0,17.030062,10,20.0,16.733782,10,20.0,17.430788,10,20.0,17.030012,10,20.0,16.466568,10,20.0,16.664545,10,20.0,16.564106,10,20.0,16.051163,10,20.0
